ID_event;Sport;Event
0;Basketball;Basketball Men's Basketball
1;Judo;Judo Men's Extra-Lightweight
2;Boxing;Boxing Men's Middleweight
3;Wrestling;Wrestling Men's Lightweight, Greco-Roman
4;Swimming;Swimming Women's 200 metres Freestyle
5;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay
6;Softball;Softball Women's Softball
8;Hockey;Hockey Men's Hockey
9;Judo;Judo Men's Middleweight
10;Basketball;Basketball Women's Basketball
11;Wrestling;Wrestling Men's Heavyweight, Greco-Roman
12;Archery;Archery Men's Individual
13;Swimming;Swimming Women's 200 metres Backstroke
14;Boxing;Boxing Men's Light-Heavyweight
15;Triathlon;Triathlon Men's Olympic Distance
17;Football;Football Women's Football
19;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Individual
20;Athletics;Athletics Women's 10,000 metres
21;Badminton;Badminton Men's Singles
23;Football;Football Men's Football
24;Fencing;Fencing Women's Sabre, Individual
25;Fencing;Fencing Women's Sabre, Team
26;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group
27;Wrestling;Wrestling Men's Light-Heavyweight, Freestyle
28;Gymnastics;Gymnastics Women's Individual All-Around
29;Gymnastics;Gymnastics Women's Team All-Around
30;Gymnastics;Gymnastics Women's Horse Vault
31;Gymnastics;Gymnastics Women's Uneven Bars
32;Gymnastics;Gymnastics Women's Balance Beam
35;Athletics;Athletics Men's Hammer Throw
36;Volleyball;Volleyball Men's Volleyball
37;Athletics;Athletics Women's Shot Put
40;Athletics;Athletics Women's 400 metres
41;Baseball;Baseball Men's Baseball
42;Swimming;Swimming Women's 100 metres Butterfly
43;Swimming;Swimming Women's 4 x 100 metres Medley Relay
44;Athletics;Athletics Men's 100 metres
45;Athletics;Athletics Men's 4 x 100 metres Relay
46;Swimming;Swimming Men's 50 metres Freestyle
47;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay
48;Athletics;Athletics Men's Marathon
49;Water Polo;Water Polo Men's Water Polo
51;Athletics;Athletics Men's High Jump
54;Athletics;Athletics Men's 50 kilometres Walk
55;Hockey;Hockey Women's Hockey
56;Shooting;Shooting Men's Air Rifle, 10 metres
57;Shooting;Shooting Men's Small-Bore Rifle, Three Positions, 50 metres
58;Weightlifting;Weightlifting Men's Middleweight
59;Weightlifting;Weightlifting Men's Light-Heavyweight
60;Shooting;Shooting Women's Sporting Pistol, 25 metres
61;Cycling;Cycling Men's Road Race, Individual
63;Badminton;Badminton Men's Doubles
66;Athletics;Athletics Men's 20 kilometres Walk
69;Archery;Archery Women's Individual
70;Archery;Archery Women's Team
71;Weightlifting;Weightlifting Women's Heavyweight
72;Rowing;Rowing Women's Double Sculls
73;Rowing;Rowing Women's Coxless Fours
74;Rowing;Rowing Women's Coxed Eights
76;Rowing;Rowing Women's Quadruple Sculls
78;Athletics;Athletics Women's Discus Throw
79;Athletics;Athletics Men's Triple Jump
81;Sailing;Sailing Mixed One Person Dinghy
84;Shooting;Shooting Men's Small-Bore Rifle, Prone, 50 metres
87;Diving;Diving Men's Synchronized Platform
88;Diving;Diving Men's Springboard
89;Diving;Diving Men's Synchronized Springboard
90;Swimming;Swimming Women's 400 metres Freestyle
91;Modern Pentathlon;Modern Pentathlon Men's Individual
96;Swimming;Swimming Men's 100 metres Freestyle
98;Art Competitions;Art Competitions Mixed Painting, Paintings
99;Athletics;Athletics Women's Javelin Throw
100;Swimming;Swimming Men's 200 metres Breaststroke
101;Synchronized Swimming;Synchronized Swimming Women's Team
102;Athletics;Athletics Men's Decathlon
103;Wrestling;Wrestling Men's Middleweight, Greco-Roman
105;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay
107;Handball;Handball Women's Handball
108;Diving;Diving Men's Platform
111;Athletics;Athletics Men's Shot Put
112;Fencing;Fencing Men's Foil, Team
114;Rowing;Rowing Women's Coxed Fours
118;Gymnastics;Gymnastics Women's Floor Exercise
124;Shooting;Shooting Men's Skeet
125;Shooting;Shooting Women's Trap
126;Judo;Judo Women's Middleweight
127;Fencing;Fencing Men's Sabre, Individual
128;Fencing;Fencing Men's Sabre, Team
129;Volleyball;Volleyball Women's Volleyball
130;Canoeing;Canoeing Men's Canadian Doubles, Slalom
132;Fencing;Fencing Men's Foil, Individual
138;Art Competitions;Art Competitions Mixed Painting, Graphic Arts
140;Swimming;Swimming Women's 800 metres Freestyle
143;Swimming;Swimming Women's 100 metres Breaststroke
145;Swimming;Swimming Women's 200 metres Breaststroke
149;Swimming;Swimming Men's 100 metres Breaststroke
